hour,t(sec),"S1 (kVA)",Ang1,"S2 (kVA)",Ang2,"S3 (kVA)",Ang3
0, 900.00000, 459.527, 11.8796, 483.26, 10.4598, 471.753, 12.0189
0, 1800.00000, 482.816, 12.8035, 507.453, 11.4557, 505, 13.2316
0, 2700.00000, 487.553, 13.0754, 496.569, 11.4015, 502.599, 13.2064
1, 0.00000, 478.124, 12.9016, 482.523, 11.1136, 485.534, 12.8552
1, 900.00000, 440.587, 13.2451, 445.065, 11.7413, 430.365, 14.2232
1, 1800.00000, 443.756, 12.9984, 450.366, 11.5033, 419.329, 13.6282
1, 2700.00000, 447.155, 12.7143, 455, 11.1433, 427.064, 13.3626
2, 0.00000, 449.45, 12.1224, 470.829, 11.1179, 439.024, 13.126
2, 900.00000, 454.451, 11.7316, 483.413, 10.4892, 438.531, 12.5834
2, 1800.00000, 472.193, 11.5914, 496.113, 10.1721, 457.628, 12.3208
2, 2700.00000, 495.348, 11.6451, 524.702, 10.5098, 488.906, 12.5707
3, 0.00000, 519.412, 11.5023, 544.998, 10.4195, 506.369, 12.228
3, 900.00000, 538.516, 11.372, 553.794, 10.127, 521.978, 11.9805
3, 1800.00000, 551.048, 11.2682, 579.762, 10.405, 547.621, 12.2296
3, 2700.00000, 573.357, 11.0196, 605.75, 10.2597, 566.252, 11.8504
4, 0.00000, 594.345, 10.6387, 626.9, 9.87063, 587.956, 11.371
4, 900.00000, 626.655, 10.5761, 661.49, 9.9299, 620.541, 11.2177
4, 1800.00000, 663.621, 10.8092, 694.565, 9.95703, 650.657, 11.2028
4, 2700.00000, 696.306, 10.8083, 725.092, 9.76127, 690.935, 11.0873
5, 0.00000, 714.678, 10.5994, 747.805, 9.78295, 705.163, 11.1688
5, 900.00000, 773.797, 10.8887, 793.651, 10.0645, 754.935, 11.1987
5, 1800.00000, 796.536, 10.6125, 807.266, 9.62167, 777.426, 10.9217
5, 2700.00000, 843.996, 10.4846, 847.855, 9.72249, 812.741, 10.7958
6, 0.00000, 895.481, 10.8065, 898.982, 9.99943, 866.704, 11.1056
6, 900.00000, 950.083, 11.2546, 961.681, 10.3721, 925.517, 11.5829
6, 1800.00000, 979.194, 11.4365, 994.136, 10.643, 953.791, 11.904
6, 2700.00000, 1011.82, 11.6553, 1015.49, 10.6938, 989.641, 12.157
7, 0.00000, 1031.54, 11.6216, 1033.4, 10.5626, 1003.1, 12.01
7, 900.00000, 1042.24, 11.9576, 1046.35, 11.0236, 1014.34, 12.2945
7, 1800.00000, 1011.79, 11.7841, 1018.77, 10.8907, 983.186, 12.0698
7, 2700.00000, 1009.45, 12.1208, 1021.69, 11.1985, 990.772, 12.3596
8, 0.00000, 988.813, 12.3563, 1002.59, 11.3627, 961.751, 12.5638
8, 900.00000, 961.005, 12.5929, 991.976, 11.6925, 943.507, 12.819
8, 1800.00000, 944.933, 12.7813, 983.175, 11.8548, 951.489, 12.9917
8, 2700.00000, 916.142, 13.0997, 947.862, 12.2461, 931.959, 13.332
9, 0.00000, 886.819, 13.0208, 914.112, 12.2451, 889.673, 13.2489
9, 900.00000, 884.25, 13.7186, 900.438, 13.1715, 863.256, 14.1034
9, 1800.00000, 881.793, 13.9727, 881.929, 13.3255, 847.8, 14.199
9, 2700.00000, 850.104, 13.7835, 843.532, 13.058, 803.56, 13.8267
10, 0.00000, 844.261, 13.9634, 830.264, 13.1808, 794.684, 14.0273
10, 900.00000, 906.515, 13.5157, 896.05, 12.7241, 886.534, 13.2559
10, 1800.00000, 916.509, 13.5885, 902.664, 12.7225, 898.848, 13.2433
10, 2700.00000, 893.067, 13.7384, 875.979, 12.9757, 871.368, 13.5893
11, 0.00000, 892.427, 14.1574, 862.655, 13.201, 872.08, 14.0761
11, 900.00000, 890.574, 13.9476, 856.789, 13.2309, 869.024, 13.9313
11, 1800.00000, 882.612, 13.9084, 867.011, 13.3946, 868.324, 13.9534
